2026-07-12 10:08:40,590 | INFO     | routecollector | Application initialized
2026-07-12 10:08:55,847 | INFO     | routecollector | Application initialized
2026-07-12 10:09:11,096 | INFO     | routecollector | Application initialized
2026-07-12 10:09:26,348 | INFO     | routecollector | Application initialized
2026-07-12 10:09:41,593 | INFO     | routecollector | Application initialized
2026-07-12 10:09:56,849 | INFO     | routecollector | Application initialized
2026-07-12 10:10:12,100 | INFO     | routecollector | Application initialized
2026-07-12 10:10:27,348 | INFO     | routecollector | Application initialized
2026-07-12 10:10:42,597 | INFO     | routecollector | Application initialized
2026-07-12 10:10:57,846 | INFO     | routecollector | Application initialized
2026-07-12 10:11:13,093 | INFO     | routecollector | Application initialized
2026-07-12 10:11:28,345 | INFO     | routecollector | Application initialized
2026-07-12 10:11:43,595 | INFO     | routecollector | Application initialized
2026-07-12 10:11:58,851 | INFO     | routecollector | Application initialized
2026-07-12 10:12:14,095 | INFO     | routecollector | Application initialized
2026-07-12 10:12:29,343 | INFO     | routecollector | Application initialized
2026-07-12 10:12:44,595 | INFO     | routecollector | Application initialized
2026-07-12 10:12:59,847 | INFO     | routecollector | Application initialized
2026-07-12 10:13:15,094 | INFO     | routecollector | Application initialized
2026-07-12 10:13:30,346 | INFO     | routecollector | Application initialized
2026-07-12 10:13:45,595 | INFO     | routecollector | Application initialized
2026-07-12 10:14:00,847 | INFO     | routecollector | Application initialized
2026-07-12 10:14:16,094 | INFO     | routecollector | Application initialized
2026-07-12 10:14:31,347 | INFO     | routecollector | Application initialized
2026-07-12 10:14:46,599 | INFO     | routecollector | Application initialized
2026-07-12 10:15:01,848 | INFO     | routecollector | Application initialized
2026-07-12 10:15:17,096 | INFO     | routecollector | Application initialized
2026-07-12 10:15:32,348 | INFO     | routecollector | Application initialized
2026-07-12 10:15:47,636 | INFO     | routecollector | Application initialized
2026-07-12 10:16:02,847 | INFO     | routecollector | Application initialized
2026-07-12 10:16:18,093 | INFO     | routecollector | Application initialized
2026-07-12 10:16:33,350 | INFO     | routecollector | Application initialized
2026-07-12 10:16:48,633 | INFO     | routecollector | Application initialized
2026-07-12 10:17:03,847 | INFO     | routecollector | Application initialized
2026-07-12 10:17:19,094 | INFO     | routecollector | Application initialized
2026-07-12 10:17:34,348 | INFO     | routecollector | Application initialized
2026-07-12 10:17:49,642 | INFO     | routecollector | Application initialized
2026-07-12 10:18:04,845 | INFO     | routecollector | Application initialized
2026-07-12 10:18:20,093 | INFO     | routecollector | Application initialized
2026-07-12 10:18:35,346 | INFO     | routecollector | Application initialized
2026-07-12 10:18:50,633 | INFO     | routecollector | Application initialized
2026-07-12 10:19:05,848 | INFO     | routecollector | Application initialized
2026-07-12 10:19:21,098 | INFO     | routecollector | Application initialized
2026-07-12 10:19:36,348 | INFO     | routecollector | Application initialized
2026-07-12 10:19:51,634 | INFO     | routecollector | Application initialized
2026-07-12 10:20:06,846 | INFO     | routecollector | Application initialized
2026-07-12 10:20:22,096 | INFO     | routecollector | Application initialized
2026-07-12 10:20:37,349 | INFO     | routecollector | Application initialized
2026-07-12 10:20:52,638 | INFO     | routecollector | Application initialized
2026-07-12 10:21:07,847 | INFO     | routecollector | Application initialized
2026-07-12 10:21:23,094 | INFO     | routecollector | Application initialized
2026-07-12 10:21:38,348 | INFO     | routecollector | Application initialized
2026-07-12 10:21:53,632 | INFO     | routecollector | Application initialized
2026-07-12 10:22:08,845 | INFO     | routecollector | Application initialized
2026-07-12 10:22:24,093 | INFO     | routecollector | Application initialized
2026-07-12 10:22:39,348 | INFO     | routecollector | Application initialized
2026-07-12 10:22:54,596 | INFO     | routecollector | Application initialized
2026-07-12 10:23:09,846 | INFO     | routecollector | Application initialized
2026-07-12 10:23:25,091 | INFO     | routecollector | Application initialized
2026-07-12 10:23:40,346 | INFO     | routecollector | Application initialized
2026-07-12 10:23:55,595 | INFO     | routecollector | Application initialized
2026-07-12 10:24:10,848 | INFO     | routecollector | Application initialized
2026-07-12 10:24:26,093 | INFO     | routecollector | Application initialized
2026-07-12 10:24:41,348 | INFO     | routecollector | Application initialized
2026-07-12 10:24:56,598 | INFO     | routecollector | Application initialized
2026-07-12 10:25:11,846 | INFO     | routecollector | Application initialized
2026-07-12 10:25:27,093 | INFO     | routecollector | Application initialized
2026-07-12 10:25:42,348 | INFO     | routecollector | Application initialized
2026-07-12 10:25:57,599 | INFO     | routecollector | Application initialized
2026-07-12 10:26:12,847 | INFO     | routecollector | Application initialized
2026-07-12 10:26:28,099 | INFO     | routecollector | Application initialized
2026-07-12 10:26:43,345 | INFO     | routecollector | Application initialized
2026-07-12 10:26:58,594 | INFO     | routecollector | Application initialized
2026-07-12 10:27:13,847 | INFO     | routecollector | Application initialized
2026-07-12 10:27:29,090 | INFO     | routecollector | Application initialized
2026-07-12 10:27:44,348 | INFO     | routecollector | Application initialized
2026-07-12 10:27:59,595 | INFO     | routecollector | Application initialized
2026-07-12 10:28:14,846 | INFO     | routecollector | Application initialized
2026-07-12 10:28:26,733 | INFO     | routecollector | Application initialized
2026-07-12 10:28:30,095 | INFO     | routecollector | Application initialized
2026-07-12 10:28:45,348 | INFO     | routecollector | Application initialized
2026-07-12 10:29:00,595 | INFO     | routecollector | Application initialized
2026-07-12 10:29:15,845 | INFO     | routecollector | Application initialized
2026-07-12 10:29:31,093 | INFO     | routecollector | Application initialized
2026-07-12 10:29:46,348 | INFO     | routecollector | Application initialized
2026-07-12 10:30:01,594 | INFO     | routecollector | Application initialized
2026-07-12 10:30:16,847 | INFO     | routecollector | Application initialized
2026-07-12 10:30:32,095 | INFO     | routecollector | Application initialized
2026-07-12 10:30:47,346 | INFO     | routecollector | Application initialized
2026-07-12 10:31:02,591 | INFO     | routecollector | Application initialized
2026-07-12 10:31:17,848 | INFO     | routecollector | Application initialized
2026-07-12 10:31:33,095 | INFO     | routecollector | Application initialized
2026-07-12 10:31:48,346 | INFO     | routecollector | Application initialized
2026-07-12 10:32:03,597 | INFO     | routecollector | Application initialized
2026-07-12 10:32:18,845 | INFO     | routecollector | Application initialized
2026-07-12 10:32:34,095 | INFO     | routecollector | Application initialized
2026-07-12 10:32:49,347 | INFO     | routecollector | Application initialized
2026-07-12 10:33:04,598 | INFO     | routecollector | Application initialized
2026-07-12 10:33:04,598 | INFO     | routecollector | RouteCollector daemon started with interval=1800 seconds
2026-07-12 10:33:21,345 | INFO     | routecollector | Cycle completed: services=3 domains=232 resolved=233 observations=3326 route_stats=102 routes=44 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-12 10:33:25,309 | INFO     | routecollector | Received signal 15, stopping daemon
2026-07-12 10:33:25,346 | INFO     | routecollector | RouteCollector daemon stopped
2026-07-12 10:33:47,264 | INFO     | routecollector | Application initialized
2026-07-12 10:33:47,265 | INFO     | routecollector | RouteCollector daemon started with interval=1800 seconds
2026-07-12 10:34:03,197 | INFO     | routecollector | Cycle completed: services=3 domains=232 resolved=233 observations=3314 route_stats=102 routes=44 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-12 10:35:25,926 | INFO     | routecollector | Application initialized
2026-07-12 10:35:32,610 | INFO     | routecollector | Application initialized
2026-07-12 10:35:46,287 | INFO     | routecollector | Application initialized
